main_line_code,main_line_tw,sub_line_tw,station_legend,station_no,station_id,station_name_tw,station_alias_tw,station_address_tw,station_map_url_tw,station_longitude,station_latitude
BR,文湖線,木柵線,BR,01,BR01,動物園,,116016臺北市文山區新光路2段32號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.579501&Latitude=24.998205,121.579501,24.998205
BR,文湖線,木柵線,BR,02,BR02,木柵,,116027臺北市文山區木柵路4段135號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.573127&Latitude=24.99824,121.573127,24.99824
BR,文湖線,木柵線,BR,03,BR03,萬芳社區,,116027臺北市文山區萬芳路60號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.568088&Latitude=24.99857,121.568088,24.99857
BR,文湖線,木柵線,BR,04,BR04,萬芳醫院,,116081臺北市文山區興隆路3段113號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.558092&Latitude=24.99932,121.558092,24.99932
BR,文湖線,木柵線,BR,05,BR05,辛亥,,116081臺北市文山區辛亥路4段128號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.5570455&Latitude=25.005455,121.5570455,25.005455
BR,文湖線,木柵線,BR,06,BR06,麟光,,106043臺北市大安區和平東路3段410號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.5588335&Latitude=25.018495,121.5588335,25.018495
BR,文湖線,木柵線,BR,07,BR07,六張犁,,106039臺北市大安區和平東路3段168號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.55302&Latitude=25.02381,121.55302,25.02381
BR,文湖線,木柵線,BR,08,BR08,科技大樓,,106101臺北市大安區復興南路2段235號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.5434615&Latitude=25.02612,121.5434615,25.02612
BR,文湖線,木柵線,RBR,09,BR09,大安,,106097臺北市大安區信義路4段2號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.54237&Latitude=25.033311,121.54237,25.033311
BR,文湖線,木柵線,BLBR,10,BR10,忠孝復興,,106084臺北市大安區忠孝東路3段302號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.545026&Latitude=25.041749,121.545026,25.041749
BR,文湖線,木柵線,GBR,11,BR11,南京復興,,105020臺北市松山區南京東路3段253號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.544303&Latitude=25.052044,121.544303,25.052044
BR,文湖線,木柵線,BR,12,BR12,中山國中,,104079臺北市中山區復興北路376號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.544215&Latitude=25.06085,121.544215,25.06085
BR,文湖線,內湖線,BR,13,BR13,松山機場,,105008臺北市松山區敦化北路338號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.55201&Latitude=25.0629075,121.55201,25.0629075
BR,文湖線,內湖線,BR,14,BR14,大直,實踐大學,104044臺北市中山區北安路534之1號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.54679&Latitude=25.07943,121.54679,25.07943
BR,文湖線,內湖線,BR,15,BR15,劍南路,美麗華,104051臺北市中山區北安路798號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.5555825&Latitude=25.08483,121.5555825,25.08483
BR,文湖線,內湖線,BR,16,BR16,西湖,德明科大,114066臺北市內湖區內湖路1段256號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.567227&Latitude=25.08216,121.567227,25.08216
BR,文湖線,內湖線,BR,17,BR17,港墘,,114004臺北市內湖區內湖路1段663號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.57516&Latitude=25.08007,121.57516,25.08007
